episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,policy_reward_min/agent,policy_reward_min/adversary0,policy_reward_min/adversary3,policy_reward_min/adversary2,policy_reward_min/adversary1,policy_reward_min/adversary4,policy_reward_min/adversary5,policy_reward_max/agent,policy_reward_max/adversary0,policy_reward_max/adversary3,policy_reward_max/adversary2,policy_reward_max/adversary1,policy_reward_max/adversary4,policy_reward_max/adversary5,policy_reward_mean/agent,policy_reward_mean/adversary0,policy_reward_mean/adversary3,policy_reward_mean/adversary2,policy_reward_mean/adversary1,policy_reward_mean/adversary4,policy_reward_mean/adversary5,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,info/learner/adversary0/cur_kl_coeff,info/learner/adversary0/cur_lr,info/learner/adversary0/total_loss,info/learner/adversary0/policy_loss,info/learner/adversary0/vf_loss,info/learner/adversary0/vf_explained_var,info/learner/adversary0/kl,info/learner/adversary0/entropy,info/learner/adversary0/entropy_coeff,info/learner/adversary3/cur_kl_coeff,info/learner/adversary3/cur_lr,info/learner/adversary3/total_loss,info/learner/adversary3/policy_loss,info/learner/adversary3/vf_loss,info/learner/adversary3/vf_explained_var,info/learner/adversary3/kl,info/learner/adversary3/entropy,info/learner/adversary3/entropy_coeff,info/learner/adversary5/cur_kl_coeff,info/learner/adversary5/cur_lr,info/learner/adversary5/total_loss,info/learner/adversary5/policy_loss,info/learner/adversary5/vf_loss,info/learner/adversary5/vf_explained_var,info/learner/adversary5/kl,info/learner/adversary5/entropy,info/learner/adversary5/entropy_coeff,info/learner/agent/cur_kl_coeff,info/learner/agent/cur_lr,info/learner/agent/total_loss,info/learner/agent/policy_loss,info/learner/agent/vf_loss,info/learner/agent/vf_explained_var,info/learner/agent/kl,info/learner/agent/entropy,info/learner/agent/entropy_coeff,info/learner/adversary1/cur_kl_coeff,info/learner/adversary1/cur_lr,info/learner/adversary1/total_loss,info/learner/adversary1/policy_loss,info/learner/adversary1/vf_loss,info/learner/adversary1/vf_explained_var,info/learner/adversary1/kl,info/learner/adversary1/entropy,info/learner/adversary1/entropy_coeff,info/learner/adversary2/cur_kl_coeff,info/learner/adversary2/cur_lr,info/learner/adversary2/total_loss,info/learner/adversary2/policy_loss,info/learner/adversary2/vf_loss,info/learner/adversary2/vf_explained_var,info/learner/adversary2/kl,info/learner/adversary2/entropy,info/learner/adversary2/entropy_coeff,info/learner/adversary4/cur_kl_coeff,info/learner/adversary4/cur_lr,info/learner/adversary4/total_loss,info/learner/adversary4/policy_loss,info/learner/adversary4/vf_loss,info/learner/adversary4/vf_explained_var,info/learner/adversary4/kl,info/learner/adversary4/entropy,info/learner/adversary4/entropy_coeff
7.105427357601002e-15,-157.80023978839367,-7.109411062011971,27.0,923,25000,False,25000,923,1,63847bde5cf24381800e9c0ce31a4047,2020-02-05_00-28-47,1580862527,78.50958204269409,78.50958204269409,4035,ip-172-31-28-107,172.31.28.107,78.50958204269409,25000,1,8,1e45f84e,0,-85.679026435205,-5.407331654101483,-5.522323024060441,-6.832138229386487,-4.253592687361419,-44.48371693930112,-78.90011989419683,7.60505949738531,59.820590941191476,39.74693610065808,44.769208969098266,78.38077302523709,19.864716473484034,-0.28083881391827537,-15.247242828867499,14.669639041871488,13.585906411581497,13.978756112366609,16.61381453624778,8.68660347024034,-16.738248374732223,0.13512276571998544,0.2667623613818954,1.6022561905816934,128,25000,8120.102,4906.648,11709.033,49364.314,22.73467741935484,10.558870967741937,0.20000000298023224,0.0005000000237487257,342.9886,-0.015538491,343.0041,0.0,0.00027149916,5.676661,0.0,0.20000000298023224,0.0005000000237487257,300.38965,-0.013680745,300.40326,-1.1920929e-07,0.00027137995,5.6767807,0.0,0.20000000298023224,0.0005000000237487257,553.76917,0.06348107,553.7056,5.9604645e-08,0.00027257204,5.674586,0.0,0.20000000298023224,0.0005000000237487257,1.3480636,-0.008201221,1.354754,0.23499009,0.0075551826,0.6858347,0.0,0.20000000298023224,0.0005000000237487257,459.89664,-0.013866592,459.91046,0.0,0.00026398897,5.70241,0.0,0.20000000298023224,0.0005000000237487257,304.0721,0.017704986,304.05435,0.0,0.00023794174,5.679507,0.0,0.20000000298023224,0.0005000000237487257,153.0254,-0.013210043,153.03857,0.0,0.00026583672,5.688789,0.0
7.105427357601002e-15,-310.8955506978915,-7.052826167616423,27.0,925,25000,False,50000,1848,2,63847bde5cf24381800e9c0ce31a4047,2020-02-05_00-28-56,1580862536,9.008840560913086,87.51842260360718,4035,ip-172-31-28-107,172.31.28.107,87.51842260360718,50000,2,8,1e45f84e,0,-155.44777534894575,-5.7996489625147944,-6.486744799025459,-5.0958096581399985,-5.88850462117405,-34.89648011450615,-155.44777534894575,6.486744799025457,96.82253370150364,38.76833391067477,56.08058980151596,69.07109589756512,19.935838043314597,-0.4577301960644168,-15.989518140806469,14.73477208918414,14.594768928076878,16.17530743470016,16.08141950681819,8.16671371965962,-16.1611143947951,0.1355367725057415,0.26763818569493497,1.3181040734663434,256,50000,6472.383,2468.053,7892.414,24696.928,56.76923076923077,10.984615384615385,0.10000000149011612,0.0005000000237487257,492.43866,-0.09178089,492.53036,0.0,0.0009386749,5.6928167,0.0,0.10000000149011612,0.0005000000237487257,351.94397,-0.071886346,352.01578,5.9604645e-08,0.0007347837,5.7160335,0.0,0.10000000149011612,0.0005000000237487257,515.1577,-0.06452193,515.22205,0.0,0.0011649062,5.6723247,0.0,0.20000000298023224,0.0005000000237487257,1.900107,-0.015414156,1.9134055,0.51931804,0.01057868,0.6794787,0.0,0.10000000149011612,0.0005000000237487257,418.811,-0.02689176,418.83783,-2.3841858e-07,0.0008544326,5.751989,0.0,0.10000000149011612,0.0005000000237487257,385.6247,0.021795847,385.60284,0.0,0.00075501204,5.6957545,0.0,0.10000000149011612,0.0005000000237487257,122.96806,-0.0931897,123.0612,-1.1920929e-07,0.00048761908,5.714007,0.0
7.105427357601002e-15,-157.2514977076435,-6.059653994906708,27.0,926,25000,False,75000,2774,3,63847bde5cf24381800e9c0ce31a4047,2020-02-05_00-29-05,1580862545,9.135719060897827,96.654141664505,4035,ip-172-31-28-107,172.31.28.107,96.654141664505,75000,3,8,1e45f84e,0,-99.62558579075697,-3.2590163797192986,-19.625585790756972,-7.812458296592922,-8.795394927554952,-14.38682231213022,-78.62574885382175,8.795394927554945,58.70603714313281,39.96825480093029,58.79542513920993,67.38307186971097,19.794596922099487,-0.01127321346634269,-15.50769589414715,15.873381611739317,16.03614010969842,14.578832593479586,15.49843846895057,9.312373862603106,-14.709788442111048,0.13617583191773985,0.2694086606889309,1.2249140602326931,384,75000,5930.003,1654.181,6659.985,16473.411,58.407692307692315,11.123076923076923,0.05000000074505806,0.0005000000237487257,428.28674,-0.09081407,428.37744,0.0,0.002292633,5.74441,0.0,0.05000000074505806,0.0005000000237487257,415.84244,-0.07067649,415.91296,0.0,0.0031720842,5.76769,0.0,0.05000000074505806,0.0005000000237487257,374.36902,-0.02524689,374.39413,0.0,0.0031610504,5.6391983,0.0,0.20000000298023224,0.0005000000237487257,2.6604488,-0.021497577,2.6758935,0.57934785,0.030264739,0.61604923,0.0,0.05000000074505806,0.0005000000237487257,404.80014,-0.024317613,404.82428,0.0,0.0033194507,5.833758,0.0,0.05000000074505806,0.0005000000237487257,401.85083,-0.065801054,401.91644,5.9604645e-08,0.0030383468,5.727414,0.0,0.05000000074505806,0.0005000000237487257,133.01266,-0.005731834,133.01837,0.0,0.00028610416,5.717354,0.0
7.105427357601002e-15,-132.58954091761254,-6.87024344108403,27.0,926,25000,False,100000,3700,4,63847bde5cf24381800e9c0ce31a4047,2020-02-05_00-29-15,1580862555,9.51953935623169,106.1736810207367,4035,ip-172-31-28-107,172.31.28.107,106.1736810207367,100000,4,8,1e45f84e,0,-81.44431667031208,-3.356650666356998,-3.0809642304211167,-10.81930813602726,-6.613028062149567,-18.722837592124414,-66.29477045880627,10.819308136027256,68.00694508802974,39.509869519301844,55.44265709746067,68.96403539486386,19.79267440638061,-0.07534340831968384,-15.407754886354889,17.532257452104552,14.969340698337655,15.37127874940467,14.336390866559471,8.141232041123718,-15.705653249297253,0.13776382578396484,0.2735520163911158,1.1962767150698317,512,100000,5724.332,1247.471,6070.362,12362.902,61.65,11.407142857142858,0.02500000037252903,0.0005000000237487257,561.9613,-0.1413354,562.1024,0.0,0.007470846,5.870519,0.0,0.02500000037252903,0.0005000000237487257,327.8508,-0.00831808,327.8589,0.0,0.008595824,5.863856,0.0,0.02500000037252903,0.0005000000237487257,454.57977,-0.05409661,454.63367,-1.1920929e-07,0.0078944545,5.540342,0.0,0.30000001192092896,0.0005000000237487257,3.3159938,-0.03095129,3.3397198,0.6727748,0.024084495,0.55324876,0.0,0.02500000037252903,0.0005000000237487257,371.27563,-0.054160908,371.3296,0.0,0.008620353,5.9255133,0.0,0.02500000037252903,0.0005000000237487257,425.06454,-0.08885065,425.15314,0.0,0.008706011,5.810618,0.0,0.02500000037252903,0.0005000000237487257,113.55121,-0.0061363913,113.55733,0.0,0.000609335,5.7175727,0.0
7.105427357601002e-15,-119.3313634671516,-5.598425746528311,27.0,926,25000,False,125000,4626,5,63847bde5cf24381800e9c0ce31a4047,2020-02-05_00-29-24,1580862564,9.71430492401123,115.88798594474792,4035,ip-172-31-28-107,172.31.28.107,115.88798594474792,125000,5,8,1e45f84e,0,-103.08787086262979,-3.7020824462401833,-3.6465124670243085,-8.871212109402265,-8.538451546939243,-19.063352003110992,-59.6656817335758,8.87121210940227,98.1608671400603,39.97759725096098,59.80298559810129,72.24481035162577,19.975613587372436,-0.12183589242619569,-15.446869936699647,17.860065693861483,13.655763567774416,14.765194524882082,17.625115860223133,7.76173034861766,-12.543618887371814,0.13868767720564948,0.27635393616218157,1.179671431926807,640,125000,5656.971,1005.479,5699.111,9896.386,61.885714285714286,11.578571428571426,0.02500000037252903,0.0005000000237487257,687.311,-0.20086417,687.5115,0.0,0.01730704,6.0514827,0.0,0.02500000037252903,0.0005000000237487257,297.2544,-0.06383506,297.3177,0.0,0.02038633,6.1235685,0.0,0.02500000037252903,0.0005000000237487257,278.93234,-0.118323654,279.05014,0.0,0.020407377,5.3978662,0.0,0.44999998807907104,0.0005000000237487257,4.7172146,-0.02189759,4.7325087,0.6979838,0.014672952,0.49918517,0.0,0.02500000037252903,0.0005000000237487257,584.70917,-0.11172517,584.8203,1.1920929e-07,0.02174339,6.0428705,0.0,0.02500000037252903,0.0005000000237487257,436.59235,-0.0995936,436.69135,0.0,0.022576768,5.947662,0.0,0.012500000186264515,0.0005000000237487257,113.8748,-0.0079294,113.88273,5.9604645e-08,0.0004265448,5.705421,0.0
7.105427357601002e-15,-99.30785082523123,-6.028831311422709,27.0,925,25000,False,150000,5551,6,63847bde5cf24381800e9c0ce31a4047,2020-02-05_00-29-34,1580862574,9.223461389541626,125.11144733428955,4035,ip-172-31-28-107,172.31.28.107,125.11144733428955,150000,6,8,1e45f84e,0,-120.34797919345593,-7.0992736623197175,-7.633318457689697,-7.9999483332626795,-14.33020715667007,-18.784939458521144,-49.653925412615614,14.330207156670067,83.1711757690182,39.97946951319294,59.66372485198625,52.70573796378437,19.744266399695913,-0.10273485591786058,-14.973652971252895,15.15004583028389,15.481555909861093,16.243841629539276,15.37337718142742,6.776299299078031,-12.01519427613339,0.13914513767336928,0.27727169955484193,1.1656889389926086,768,150000,5549.963,843.166,5433.757,8251.28,58.223076923076924,11.699999999999998,0.02500000037252903,0.0005000000237487257,395.10217,-0.023836095,395.12527,-1.1920929e-07,0.028707623,6.3354874,0.0,0.03750000149011612,0.0005000000237487257,396.15063,-0.13485785,396.28397,1.1920929e-07,0.040038865,6.447733,0.0,0.03750000149011612,0.0005000000237487257,265.5905,-0.09904905,265.6879,0.0,0.046083987,5.1628275,0.0,0.44999998807907104,0.0005000000237487257,5.6525636,-0.028694583,5.6744165,0.70616645,0.015203427,0.43581653,0.0,0.03750000149011612,0.0005000000237487257,428.1408,-0.080233894,428.2198,0.0,0.034266956,6.225944,0.0,0.03750000149011612,0.0005000000237487257,506.01746,-0.09069502,506.10666,5.9604645e-08,0.038764235,6.1703515,0.0,0.0062500000931322575,0.0005000000237487257,89.815605,-0.003129445,89.81873,-1.1920929e-07,0.0008506649,5.693222,0.0
7.105427357601002e-15,-100.65918156552999,-4.452569129730033,27.0,927,25000,False,175000,6478,7,63847bde5cf24381800e9c0ce31a4047,2020-02-05_00-29-43,1580862583,9.148195266723633,134.25964260101318,4035,ip-172-31-28-107,172.31.28.107,134.25964260101318,175000,7,8,1e45f84e,0,-126.19886057665809,-7.680153086501349,-10.329590782764996,-12.564943593355054,-10.536061926112609,-16.835977864619466,-37.44533584091403,12.564943593355054,99.42543654367665,39.733986057662115,59.54670258250042,78.7109831897676,19.85485868283156,-0.07119313574889774,-15.66388651290736,19.518040745478448,12.445259605324765,17.810767407496712,18.303846565884943,6.7113281268756095,-9.303710028115631,0.1392995517841449,0.27818787704413267,1.154707452673475,896,175000,5482.04,726.976,5224.352,7075.922,57.4076923076923,11.800000000000002,0.03750000149011612,0.0005000000237487257,769.5885,-0.077521764,769.6639,0.0,0.05599385,6.762884,0.0,0.05624999850988388,0.0005000000237487257,277.78723,-0.039003953,277.82263,-1.1920929e-07,0.064678185,6.8934026,0.0,0.05624999850988388,0.0005000000237487257,154.32861,-0.1054379,154.43071,1.7881393e-07,0.059663594,4.749725,0.0,0.44999998807907104,0.0005000000237487257,7.7078524,-0.03103443,7.7324276,0.72906196,0.0143532315,0.395885,0.0,0.05624999850988388,0.0005000000237487257,623.5502,-0.08008757,623.62756,-1.1920929e-07,0.04706768,6.5075045,0.0,0.05624999850988388,0.0005000000237487257,506.23428,0.003287198,506.22858,0.0,0.04303196,6.3976283,0.0,0.0031250000465661287,0.0005000000237487257,85.3891,-0.032431692,85.421524,0.0,0.0032334593,5.6697664,0.0
7.105427357601002e-15,-297.7656451795515,-4.7755235688473965,27.0,925,25000,False,200000,7403,8,63847bde5cf24381800e9c0ce31a4047,2020-02-05_00-29-52,1580862592,9.412238121032715,143.6718807220459,4035,ip-172-31-28-107,172.31.28.107,143.6718807220459,200000,8,8,1e45f84e,0,-188.88282258977574,-11.647886345562128,-108.88282258977574,-6.681196986773244,-4.287503158619131,-7.683974715900419,-33.269079842704635,12.75801514718896,98.43397116814575,39.97740954233207,58.55963135061126,78.20051764610018,19.908300049968396,-0.010997011535355594,-17.47450344576195,21.811589761898592,13.167822633236089,19.550602018651166,20.27317905865767,7.26880115297151,-7.977604127139866,0.13927478139993532,0.27812560629912547,1.1456922441611213,1024,200000,5425.908,638.781,5105.622,6194.249,56.378571428571426,11.864285714285717,0.05624999850988388,0.0005000000237487257,1078.636,-0.17940313,1078.8105,0.0,0.086889744,7.1945577,0.0,0.08437500149011612,0.0005000000237487257,473.2683,0.025096258,473.24197,0.0,0.014664769,7.126318,0.0,0.08437500149011612,0.0005000000237487257,116.46999,-0.085581034,116.547775,0.0,0.09236289,4.377437,0.0,0.44999998807907104,0.0005000000237487257,12.352526,-0.02760892,12.375007,0.74113846,0.011395985,0.35560483,0.0,0.08437500149011612,0.0005000000237487257,709.391,-0.08485687,709.4707,0.0,0.06095205,6.913992,0.0,0.08437500149011612,0.0005000000237487257,661.92786,-0.112590924,662.0359,0.0,0.05427941,6.6860204,0.0,0.0015625000232830644,0.0005000000237487257,93.44469,-0.058008894,93.50268,0.0,0.011607719,5.540426,0.0
7.105427357601002e-15,-208.18507200342714,-4.458245715010735,27.0,928,25000,False,225000,8331,9,63847bde5cf24381800e9c0ce31a4047,2020-02-05_00-30-01,1580862601,8.977515697479248,152.64939641952515,4035,ip-172-31-28-107,172.31.28.107,152.64939641952515,225000,9,8,1e45f84e,0,-184.09253600171357,-9.490944402180844,-20.707168261867025,-11.499969104622323,-24.09253600171357,-12.060205151236147,-28.25849432305556,9.490944402180846,99.91847704150335,39.72004603050445,58.770734940758615,78.52069804230429,19.760379752427216,-0.0051476158354011314,-16.522948419962432,21.279662931190018,13.713929431276638,19.30810492258902,18.294429225354847,7.066274483204007,-7.071880626584962,0.13939675073729452,0.2787039629807281,1.139422031919265,1152,225000,5380.59,571.637,4966.0,5510.265,61.53333333333333,11.9,0.08437500149011612,0.0005000000237487257,775.3157,-0.027435513,775.3373,0.0,0.06844351,7.604812,0.0,0.08437500149011612,0.0005000000237487257,318.5872,0.015760895,318.5695,0.0,0.023210704,7.2524505,0.0,0.12656250596046448,0.0005000000237487257,81.77611,-0.14716858,81.9077,0.0,0.12309025,3.9712174,0.0,0.44999998807907104,0.0005000000237487257,14.977636,-0.027469289,15.000253,0.72097844,0.010786416,0.31503507,0.0,0.12656250596046448,0.0005000000237487257,576.7469,0.00011588633,576.7395,-1.1920929e-07,0.057658877,7.296469,0.0,0.12656250596046448,0.0005000000237487257,604.8094,-0.05075108,604.8499,0.0,0.080778554,7.0265837,0.0,0.0015625000232830644,0.0005000000237487257,89.729744,-0.044573113,89.7743,0.0,0.00616857,5.4034142,0.0
7.105427357601002e-15,-265.51110331645805,-4.489821538619224,27.0,925,25000,False,250000,9256,10,63847bde5cf24381800e9c0ce31a4047,2020-02-05_00-30-11,1580862611,9.520459413528442,162.1698558330536,4035,ip-172-31-28-107,172.31.28.107,162.1698558330536,250000,10,8,1e45f84e,0,-192.75555165822902,-12.615423211626307,-90.15060027114464,-72.75555165822902,-15.942625226580802,-11.11012670612741,-26.693895897456354,15.942625226580796,92.9759201149979,39.90748199749301,58.718055241150665,77.0875050669317,19.87511930351943,-0.08385430385744366,-16.227806200142574,20.90378427144436,12.336028890513218,15.127985217035176,20.5530115638434,5.791853033366731,-4.968736189498527,0.13951913469495847,0.2791290991471205,1.1352883805082234,1280,250000,5345.253,517.183,4909.165,4961.98,56.37857142857143,11.900000000000002,0.12656250596046448,0.0005000000237487257,874.28076,-0.07415852,874.3495,0.0,0.043925434,7.9929867,0.0,0.12656250596046448,0.0005000000237487257,443.37387,0.012102064,443.36014,0.0,0.0133673325,7.3416057,0.0,0.18984374403953552,0.0005000000237487257,39.208138,-0.07114988,39.256466,0.0,0.12021077,3.547825,0.0,0.44999998807907104,0.0005000000237487257,19.806147,-0.026651904,19.828152,0.702337,0.010325361,0.2653101,0.0,0.18984374403953552,0.0005000000237487257,786.148,-0.07952209,786.2163,0.0,0.059237864,7.5789332,0.0,0.18984374403953552,0.0005000000237487257,460.0399,-0.10276681,460.1324,0.0,0.054005027,7.3867564,0.0,0.0015625000232830644,0.0005000000237487257,67.034515,-0.010339219,67.04485,0.0,0.0053116865,5.391007,0.0
